Nr,Gebiet,gehört,Wahlberechtigte,,,,Wähler,,,,Ungültige,,,,Gültige,,,,SPD,,,,CDU,,,,FDP,,,,GRÜNE,,,,DIE LINKE,,,,NPD,,,,MLPD,,,,DVU,,,,PIRATEN,,,,RENTNER,,,,ZENTRUM,,,,PARTEILOS,,,,DIE VIOLETTEN,,,,REP,,,,ödp,,,,GRÜNE/GAL,,,,ödp Hamburg,,,,BüSo,,,,DIE LINKE.,,,,Die Tierschutzpartei,,,,RRP,,,,PBC,,,,GRÜNE/B90,,,,FWD,,,,Freie Union,,,,PSG,,,,DKP,,,,FAMILIE,,,,Volksabstimmung,,,,ADM,,,,CSU,,,,BP,,,,CM,,,,
,,zu,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,
,,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,1,"Flensburg - Schleswig",1,225216,,225216,,163329,,163329,,4117,,4181,,159212,,159148,,52139,,41793,,61793,,51068,,15292,,24187,,16399,,21967,,11918,,13481,,1302,,1240,,,,47,,,,159,,,,3385,,,,1821,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

25,"Aurich - Emden",4,189804,,189804,,132885,,132885,,2439,,2121,,130446,,130764,,57876,,50682,,33706,,32155,,9314,,13619,,14451,,13641,,,,,,1886,,1712,,,,32,,,,123,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,13213,,14978,,,,1042,,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Unterems",4,231076,,231076,,164653,,164653,,2392,,2136,,162261,,162517,,47481,,44913,,73405,,63545,,15470,,20731,,11981,,12222,,,,,,1862,,1707,,,,28,,,,152,,,,2899,,,,,,,,,,,,,,,,,,,,,,,,304,,,,,,,,,,,,,,12062,,14219,,,,1149,,,,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Friesland - Wilhelmshaven",4,190546,,190546,,132735,,132735,,2630,,1939,,130105,,130796,,51851,,40610,,42211,,38728,,12283,,19204,,9794,,12009,,,,,,1911,,1570,,,,85,,,,106,,,,2452,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,12055,,13572,,,,1277,,,,1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Oldenburg - Ammerland",4,215591,,215591,,158347,,158347,,1891,,1490,,156456,,156857,,49020,,42551,,55610,,44090,,13840,,22917,,21651,,24171,,,,,,1548,,1345,,,,53,,,,124,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,14080,,15244,,,,1349,,707,,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Delmenhorst - Wesermarsch - Oldenburg-Land",4,226440,,226440,,161584,,161584,,1970,,1821,,159614,,159763,,55374,,45895,,56273,,49810,,16163,,23109,,14446,,16731,,,,,,2346,,2009,,,,49,,,,171,,,,2879,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,,,13751,,15906,,,,1519,,1261,,1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Cuxhaven - Stade II",4,189058,,189058,,135824,,135824,,1902,,1575,,133922,,134249,,50481,,40643,,51654,,46707,,10426,,17146,,8379,,11885,,,,,,1828,,1567,,,,28,,,,225,,,,1938,,,,,,,,,,847,,,,,,,,,,,,,,173,,,,,,,,,,,,,,10307,,11920,,,,1072,,,,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Stade I - Rotenburg II",4,192956,,192956,,142114,,142114,,1690,,1424,,140424,,140690,,46851,,37784,,62035,,51303,,9946,,20056,,9409,,14253,,,,,,2349,,2061,,,,43,,,,140,,,,2503,,,,,,,,,,431,,,,,,,,,,,,,,170,,,,,,,,,,307,,,,9096,,10541,,,,999,,,,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Mittelems",4,226979,,226979,,169078,,169078,,1775,,1550,,167303,,167528,,43503,,39085,,91378,,79052,,13278,,23749,,9819,,11357,,,,,,1130,,1014,,,,24,,,,78,,,,2347,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,8195,,9169,,,,853,,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Cloppenburg - Vechta",4,212449,,212449,,148935,,148935,,1708,,1425,,147227,,147510,,28053,,24358,,91686,,80355,,12700,,23001,,6575,,7827,,,,,,1286,,1132,,,,35,,,,85,,,,1953,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,6927,,7518,,,,766,,,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
