Nr,Gebiet,gehört,Wahlberechtigte,,,,Wähler,,,,Ungültige,,,,Gültige,,,,SPD,,,,CDU,,,,FDP,,,,GRÜNE,,,,DIE LINKE,,,,NPD,,,,MLPD,,,,DVU,,,,PIRATEN,,,,RENTNER,,,,ZENTRUM,,,,PARTEILOS,,,,DIE VIOLETTEN,,,,REP,,,,ödp,,,,GRÜNE/GAL,,,,ödp Hamburg,,,,BüSo,,,,DIE LINKE.,,,,Die Tierschutzpartei,,,,RRP,,,,PBC,,,,GRÜNE/B90,,,,FWD,,,,Freie Union,,,,PSG,,,,DKP,,,,FAMILIE,,,,Volksabstimmung,,,,ADM,,,,CSU,,,,BP,,,,CM,,,,
,,zu,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,
,,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,1,"Flensburg - Schleswig",1,225216,,225216,,163329,,163329,,4117,,4181,,159212,,159148,,52139,,41793,,61793,,51068,,15292,,24187,,16399,,21967,,11918,,13481,,1302,,1240,,,,47,,,,159,,,,3385,,,,1821,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"Soest",9,232781,,232781,,165293,,165293,,2204,,1921,,163089,,163372,,47583,,41522,,74725,,59805,,15625,,27675,,11924,,14081,,11432,,12460,,1800,,1324,,,,13,,,,118,,,,2612,,,,652,,,,123,,,,,,,,,,,,388,,,,106,,,,,,,,,,,,48,,,,,,,,922,,,,315,,,,,,,,,,,,,,,,,,,,22,,,,,,,,1037,,,,149,,,,,,,,,,,,,,,,,,
148,"Hochsauerlandkreis",9,209440,,209440,,152242,,152242,,1927,,1702,,150315,,150540,,40010,,36741,,77687,,63133,,13753,,24530,,7966,,9460,,9362,,10064,,1537,,1223,,,,25,,,,96,,,,2008,,,,601,,,,121,,,,,,,,,,,,306,,,,112,,,,,,,,,,,,23,,,,,,,,809,,,,206,,,,,,,,,,,,,,,,,,,,26,,,,,,,,910,,,,146,,,,,,,,,,,,,,,,,,
149,"Siegen-Wittgenstein",9,218411,,218411,,156878,,156878,,2271,,1682,,154607,,155196,,60500,,44822,,64217,,53999,,15482,,23059,,,,13385,,12009,,12362,,2399,,1910,,,,22,,,,67,,,,2044,,,,485,,,,88,,,,,,,,,,,,660,,,,218,,,,,,,,,,,,26,,,,,,,,920,,,,200,,,,,,,,,,,,,,,,,,,,22,,,,,,,,755,,,,152,,,,,,,,,,,,,,,,,,
150,"Olpe - Märkischer Kreis I",9,214196,,214196,,151127,,151127,,1941,,1733,,149186,,149394,,42273,,36470,,70705,,59358,,15568,,25021,,8476,,10379,,10100,,10797,,2064,,1564,,,,40,,,,119,,,,1901,,,,673,,,,115,,,,,,,,,,,,503,,,,108,,,,,,,,,,,,20,,,,,,,,978,,,,281,,,,,,,,,,,,,,,,,,,,37,,,,,,,,879,,,,151,,,,,,,,,,,,,,,,,,
151,"Märkischer Kreis II",9,210993,,210993,,146986,,146986,,1788,,1661,,145198,,145325,,59521,,41755,,52751,,51494,,11740,,20616,,6207,,10589,,10431,,12450,,2331,,1902,,,,48,,,,105,,,,2181,,,,786,,,,67,,,,,,,,,,,,555,,,,105,,,,,,,,,,,,25,,,,,,2217,,1310,,,,335,,,,,,,,,,,,,,,,,,,,23,,,,,,,,810,,,,169,,,,,,,,,,,,,,,,,,
9,"Nordrhein-Westfalen",99

152,"Nordsachsen",10,178447,,178447,,109628,,109628,,1785,,1672,,107843,,107956,,15860,,16927,,44147,,38440,,10611,,13747,,4357,,4783,,27760,,27765,,5108,,5069,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,,,,,,,,,,,,,,,,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"Leipzig I",10,202455,,202455,,129834,,129834,,1719,,1523,,128115,,128311,,24866,,23070,,42704,,38471,,11781,,16478,,8856,,11474,,34015,,32762,,4202,,4225,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,1691,,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Leipzig II",10,212804,,212804,,144581,,144581,,1904,,1786,,142677,,142795,,32841,,26133,,41101,,37304,,10505,,16983,,17345,,20998,,36117,,36431,,3094,,3119,,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,,,,,,,,,,1674,,1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"Leipzig-Land",10,231084,,231084,,148389,,148389,,2283,,2081,,146106,,146308,,23471,,23354,,60969,,53735,,14799,,19240,,6745,,7533,,33044,,34826,,5988,,5751,,,,375,,,,,,,,,,,,,,,,,,1090,,,,,,,,,,462,,,,,,,,,,,,,,,,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"Meißen",10,216629,,216629,,140109,,140109,,2289,,2288,,137820,,137821,,17236,,17987,,62290,,51703,,12403,,20052,,8315,,7979,,29423,,31286,,7050,,6875,,,,327,,,,,,,,,,,,,,,,,,1103,,,,,,,,,,404,,,,,,,,,,,,,,,,1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"Bautzen I",10,237786,,237786,,154966,,154966,,2907,,2573,,152059,,152393,,16870,,18906,,64325,,59103,,17755,,20969,,6505,,6431,,38241,,37144,,8363,,7597,,,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"Görlitz",10,238958,,238958,,149737,,149737,,2750,,2590,,146987,,147147,,17005,,18569,,62338,,55015,,13935,,19223,,7381,,7004,,35786,,36231,,7842,,8035,,,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,2700,,2117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"Sächsische Schweiz - Osterzgebirge",10,215674,,215674,,141214,,141214,,2454,,2254,,138760,,138960,,16194,,16725,,62530,,56001,,15292,,19910,,6378,,7346,,28233,,28970,,7983,,7717,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,,,,,2150,,1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"Dresden I",10,230676,,230676,,157220,,157220,,2007,,1773,,155213,,155447,,25959,,24373,,56749,,53247,,14818,,20574,,13668,,16961,,37180,,34171,,3851,,3980,,,,297,,,,,,,,,,,,,,,,,,612,,,,801,,,,,,,,,,281,,,,,,,,,,,,,,1575,,1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Dresden II - Bautzen II",10,231247,,231247,,154609,,154609,,2328,,2012,,152281,,152597,,22268,,21518,,55401,,51621,,18204,,21783,,18871,,19978,,29679,,30870,,4389,,4501,,436,,391,,,,,,,,,,,,,,,,,,1436,,,,,,,,,,366,,,,,,,,,,,,,,1597,,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Mittelsachsen",10,223149,,223149,,143690,,143690,,2294,,2123,,141396,,141567,,20800,,18677,,61579,,54525,,14032,,19726,,5921,,6208,,32744,,34630,,6320,,6200,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,,,,,,,,,,,,,,,,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Chemnitz",10,205652,,205652,,136100,,136100,,1716,,1603,,134384,,134497,,27060,,22991,,45876,,41081,,12106,,17147,,8109,,9524,,37433,,38448,,3800,,3651,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,,,,,,,,,,,,,,,,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Chemnitzer Umland - Erzgebirgskreis II",10,202743,,202743,,133277,,133277,,2151,,1955,,131126,,131322,,19247,,19114,,54065,,49258,,14092,,16968,,5360,,5946,,33133,,33488,,5229,,4975,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,,,,,,,,,,,,,,,,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"Erzgebirgskreis I",10,247624,,247624,,159655,,159655,,2884,,2857,,156771,,156798,,17168,,18846,,63211,,60413,,23820,,22051,,5896,,5919,,37166,,39545,,7930,,7876,,,,373,,,,,,,,,,,,,,,,,,1580,,,,,,,,,,618,,,,,,,,,,,,,,,,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"Zwickau",10,229535,,229535,,145614,,145614,,2383,,2228,,143231,,143386,,20864,,21336,,55605,,51459,,13097,,17402,,6491,,6418,,40265,,39659,,5394,,5268,,,,316,,,,,,,,,,,,,,,,,,520,,,,,,,,,,517,,,,,,,,,,,,,,995,,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"Vogtlandkreis",10,213732,,213732,,137330,,137330,,2421,,2276,,134909,,135054,,21393,,20227,,55128,,49522,,12755,,16882,,5849,,6781,,33586,,35235,,4908,,4772,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,,,,815,,,,,,,,,,,,,,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Sachsen",99

168,"Waldeck",11,192360,,192360,,140808,,140808,,3801,,3513,,137007,,137295,,51737,,45343,,48414,,41109,,13180,,20210,,11209,,13498,,10400,,11657,,1756,,1393,,,,48,,,,115,,,,2175,,,,,,,,,,311,,,,,,,,,,504,,,,,,,,,,,,,,,,122,,,,,,,,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"Kassel",11,222636,,222636,,161033,,161033,,4254,,3903,,156779,,157130,,59621,,49114,,47643,,40134,,12188,,19820,,19246,,23320,,15453,,17656,,1594,,1275,,319,,173,,,,112,,,,3523,,,,,,,,,,715,,,,,,,,,,470,,,,,,,,,,,,,,,,159,,,,,,,,1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Werra-Meißner - Hersfeld-Rotenburg",11,184337,,184337,,135727,,135727,,3713,,3630,,132014,,132097,,53275,,45401,,45711,,39966,,12290,,17526,,7530,,10679,,11080,,12927,,2128,,1939,,,,35,,,,95,,,,1948,,,,,,,,,,,,,,,,,,,,422,,,,,,,,,,,,,,,,155,,,,,,,,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"Schwalm-Eder",11,194732,,194732,,144490,,144490,,4391,,4275,,140099,,140215,,56519,,47585,,47053,,40592,,13487,,19854,,9370,,12935,,11395,,12958,,2275,,1813,,,,37,,,,128,,,,2382,,,,,,,,,,,,,,,,,,,,556,,,,,,,,,,,,,,,,119,,,,,,,,1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"Marburg",11,185071,,185071,,135293,,135293,,2382,,2195,,132911,,133098,,51712,,38139,,47322,,41356,,10964,,17410,,10366,,16884,,10857,,13181,,1690,,1290,,,,27,,,,76,,,,2625,,,,,,,,,,,,,,,,,,,,843,,,,,,,,,,,,,,,,151,,,,,,,,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"Lahn-Dill",11,212611,,212611,,147952,,147952,,3104,,2730,,144848,,145222,,47897,,40485,,60214,,50391,,12968,,21137,,11032,,13382,,9815,,12133,,2922,,2236,,,,40,,,,127,,,,2972,,,,,,,,,,,,,,,,,,,,741,,,,,,,,,,,,,,,,147,,,,,,,,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"Gießen",11,228413,,228413,,165668,,165668,,3848,,3584,,161820,,162084,,55331,,44222,,59441,,50276,,17928,,25687,,14140,,18853,,11399,,14605,,2328,,1853,,,,46,,,,158,,,,3962,,,,,,,,,,1253,,,,,,,,,,701,,,,,,,,,,,,,,,,193,,,,,,,,1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Fulda",11,239786,,239786,,177038,,177038,,4081,,3660,,172957,,173378,,41388,,34783,,86084,,70740,,17415,,30594,,12556,,14727,,11923,,13377,,3591,,2722,,,,58,,,,186,,,,3034,,,,,,,,,,,,,,,,,,,,1337,,,,,,,,,,,,,,,,221,,,,,,,,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"Hochtaunus",11,182246,,182246,,141075,,141075,,2300,,2217,,138775,,138858,,35257,,29758,,62748,,49902,,16255,,27979,,12976,,15877,,7522,,9229,,1081,,1055,,,,26,,,,74,,,,2552,,,,,,,,,,,,,,,,,,862,,807,,,,,,,,,,,,,,,,127,,,,,,2074,,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"Wetterau",11,246697,,246697,,183820,,183820,,4122,,4002,,179698,,179818,,59420,,45085,,73702,,60038,,16284,,31612,,12425,,19242,,11116,,13681,,3792,,3426,,,,45,,,,138,,,,3623,,,,,,,,,,328,,,,,,,,,,677,,,,,,,,,,,,,,,,182,,,,,,2631,,2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Rheingau-Taunus - Limburg",11,221226,,221226,,166456,,166456,,3400,,2837,,163056,,163619,,45127,,36352,,75224,,60875,,17463,,30530,,13141,,17210,,9066,,10853,,1432,,1490,,,,32,,,,106,,,,3199,,,,,,,,,,,,,,,,,,1603,,1133,,,,,,,,,,,,,,,,174,,,,,,,,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Wiesbaden",11,187479,,187479,,133425,,133425,,2374,,2221,,131051,,131204,,42751,,30892,,53416,,40831,,12350,,23194,,10970,,18560,,9016,,11333,,1516,,1070,,,,37,,,,125,,,,2839,,,,,,,,,,444,,,,,,,,,,1049,,,,,,,,,,,,,,588,,269,,,,,,,,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Hanau",11,241923,,241923,,178604,,178604,,4067,,4045,,174537,,174559,,59413,,42154,,68704,,56834,,15523,,30368,,11572,,19324,,11985,,15139,,2289,,2317,,,,41,,,,142,,,,3763,,,,,,,,,,,,,,,,,,1764,,1689,,,,,,,,,,,,,,,,220,,,,,,3287,,2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Main-Taunus",11,195505,,195505,,155748,,155748,,2821,,2322,,152927,,153426,,36629,,29515,,72680,,56989,,18588,,33225,,15618,,18258,,7718,,8699,,1694,,1140,,,,30,,,,110,,,,3157,,,,,,,,,,,,,,,,,,,,701,,,,,,,,,,,,,,,,165,,,,,,,,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"Frankfurt am Main I",11,190058,,190058,,132429,,132429,,2217,,2091,,130212,,130338,,39147,,29107,,45866,,36031,,12876,,22761,,15701,,20645,,12031,,14551,,1327,,1266,,170,,92,,,,81,,,,3355,,,,,,,,,,,,,,,,,,862,,824,,,,,,,,,,,,,,353,,210,,,,,,1879,,1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"Frankfurt am Main II",11,212140,,212140,,156548,,156548,,2671,,2150,,153877,,154398,,45074,,33243,,55027,,43089,,14336,,27031,,23403,,28225,,11998,,15397,,1546,,1183,,,,62,,,,102,,,,3722,,,,,,,,,,,,,,,,,,,,651,,,,,,,,,,,,,,416,,190,,,,,,2077,,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"Groß-Gerau",11,172278,,172278,,128119,,128119,,3099,,2765,,125020,,125354,,44973,,35058,,45410,,37526,,10177,,18630,,12072,,15677,,9449,,11103,,2457,,1680,,,,60,,,,109,,,,2772,,,,,,,,,,482,,,,,,,,,,1098,,,,,,,,,,,,,,,,178,,,,,,,,1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"Offenbach",11,221180,,221180,,158857,,158857,,3969,,4213,,154888,,154644,,44542,,34376,,62281,,49267,,15843,,28409,,15243,,19863,,11594,,13813,,2434,,1766,,,,41,,,,150,,,,3835,,,,,,,,,,229,,,,,,,,,,1068,,,,,,,,,,,,,,,,198,,,,,,2722,,1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"Darmstadt",11,233622,,233622,,176435,,176435,,3467,,3050,,172968,,173385,,60581,,43605,,60536,,49924,,13553,,26539,,20963,,29727,,11213,,14869,,1860,,1501,,,,87,,,,132,,3866,,4390,,,,,,,,,,,,,,,,,,,,788,,,,,,,,,,,,,,,,173,,,,,,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,,,,,,
187,"Odenwald",11,234911,,234911,,176808,,176808,,5386,,4959,,171422,,171849,,50797,,42756,,69191,,56677,,18409,,29697,,16215,,19379,,11574,,13403,,2183,,1907,,,,79,,,,137,,,,4098,,,,,,,,,,822,,,,459,,,,,,,,1772,,1723,,,,,,,,,,,,,,,,228,,,,,,,,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"Bergstraße",11,199708,,199708,,148308,,148308,,3135,,2708,,145173,,145600,,44903,,35748,,64472,,50275,,12966,,25219,,11296,,15683,,9171,,10891,,2365,,1607,,,,41,,,,113,,,,2782,,,,,,,,,,,,,,,,,,,,1458,,,,,,,,,,,,,,,,165,,,,,,,,1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Hessen",99

189,"Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I",12,204717,,204717,,136404,,136404,,1658,,1545,,134746,,134859,,22854,,22341,,57882,,51863,,9942,,14382,,5540,,6507,,33005,,32391,,3798,,3631,,,,127,,,,,,,,2309,,,,,,,,,,309,,,,,,,,,,299,,1416,,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II",12,201700,,201700,,131047,,131047,,1984,,1912,,129063,,129135,,29106,,23845,,44903,,42063,,8211,,11921,,4921,,6451,,35666,,36508,,4864,,4607,,,,268,,,,,,,,2516,,,,,,,,,,1075,,,,317,,,,,,,,,,467,,,,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"Kyffhäuserkreis - Sömmerda - Weimarer Land I",12,200901,,200901,,127925,,127925,,1860,,1842,,126065,,126083,,22819,,21692,,42674,,39696,,9800,,12661,,5754,,6064,,39568,,37923,,4855,,4383,,,,186,,,,,,,,2581,,,,,,,,,,595,,,,,,,,,,491,,,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"Gotha - Ilm-Kreis",12,214510,,214510,,139919,,139919,,2112,,1971,,137807,,137948,,37032,,27092,,40063,,42479,,10056,,12393,,7391,,7608,,35942,,38257,,5475,,4924,,,,191,,,,,,,,3992,,,,,,,,,,672,,,,1176,,,,,,,,,,513,,,,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"Erfurt - Weimar - Weimarer Land II",12,225708,,225708,,151236,,151236,,1962,,1638,,149274,,149598,,33488,,26897,,45931,,41777,,8897,,13429,,12137,,15630,,43050,,41801,,4151,,3762,,,,293,,,,,,,,4958,,,,,,,,,,947,,,,673,,,,,,,,,,451,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Gera - Jena - Saale-Holzland-Kreis",12,245228,,245228,,164803,,164803,,2274,,1893,,162529,,162910,,34658,,28034,,46590,,44951,,15695,,16832,,11471,,13243,,49344,,48724,,4771,,4209,,,,190,,,,,,,,5519,,,,,,,,,,,,,,,,,,,,574,,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"Greiz - Altenburger Land",12,182336,,182336,,116989,,116989,,1952,,1743,,115037,,115246,,20224,,19006,,42988,,37841,,9237,,12557,,4196,,4919,,33672,,33017,,4720,,4168,,,,156,,,,,,,,2707,,,,,,,,,,,,,,,,,,,,397,,,,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis",12,231447,,231447,,148939,,148939,,2261,,1845,,146678,,147094,,27824,,25004,,46726,,44770,,12534,,14342,,5684,,6654,,45820,,45439,,6574,,5978,,582,,395,,,,,,,,3340,,,,,,,,,,934,,,,,,,,,,615,,,,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"Suhl - Schmalkalden-Meiningen - Hildburghausen",12,207012,,207012,,130502,,130502,,1857,,1606,,128645,,128896,,27055,,22682,,39600,,38338,,10313,,12118,,5936,,6762,,41361,,40815,,4380,,3941,,,,185,,,,,,,,3109,,,,,,,,,,,,,,,,,,,,532,,,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Thüringen",99

198,"Neuwied",13,242568,,242568,,172799,,172799,,3873,,2735,,168926,,170064,,61544,,42279,,66214,,61307,,17881,,28754,,9518,,14005,,11331,,15360,,2438,,1820,,,,72,,,,123,,,,2758,,,,,,,,,,,,,,,,,,,,689,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,,,,,,,,,,,,,,,,,,,,,,,,1548,,,,,,,,,,,,,,,,,,,,,,
199,"Ahrweiler",13,195658,,195658,,139346,,139346,,2813,,2187,,136533,,137159,,33987,,28973,,62145,,54737,,20470,,25933,,10094,,11622,,8310,,10171,,1527,,1192,,,,31,,,,79,,,,2204,,,,,,,,,,,,,,,,,,,,409,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,1123,,,,,,,,,,,,,,,,,,,,,,
200,"Koblenz",13,196560,,196560,,138790,,138790,,3133,,2553,,135657,,136237,,38080,,32414,,59853,,49065,,13084,,23679,,13222,,13732,,9935,,11239,,1483,,1188,,,,31,,,,98,,,,2690,,,,,,,,,,,,,,,,,,,,432,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,1118,,,,,,,,,,,,,,,,,,,,,,
201,"Mosel/Rhein-Hunsrück",13,179373,,179373,,130191,,130191,,4233,,2635,,125958,,127556,,29859,,26447,,60105,,50302,,15714,,24248,,9724,,10265,,9035,,10568,,1521,,1137,,,,25,,,,100,,,,2023,,,,,,,,,,,,,,,,,,,,485,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,,,,,,,,,,,,,,,,,,,,,,,,1286,,,,,,,,,,,,,,,,,,,,,,
202,"Kreuznach",13,190569,,190569,,133191,,133191,,3062,,2458,,130129,,130733,,37332,,34984,,61167,,43300,,8684,,21190,,8768,,11065,,11579,,14197,,1798,,1560,,,,36,,,,158,,,,2030,,,,,,,,,,801,,,,,,,,,,547,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,1158,,,,,,,,,,,,,,,,,,,,,,
203,"Bitburg",13,168357,,168357,,120001,,120001,,3429,,2390,,116572,,117611,,28042,,22419,,53705,,48270,,16213,,22500,,9274,,9922,,8043,,9642,,1295,,1021,,,,22,,,,92,,,,1717,,,,,,,,,,,,,,,,,,,,354,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,1237,,,,,,,,,,,,,,,,,,,,,,
204,"Trier",13,191691,,191691,,138338,,138338,,3552,,2328,,134786,,136010,,34948,,30348,,61594,,50210,,11237,,20354,,14109,,16456,,11583,,13070,,1315,,1092,,,,27,,,,74,,,,2483,,,,,,,,,,,,,,,,,,,,347,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,1111,,,,,,,,,,,,,,,,,,,,,,
