"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Rainer Helmar";"Christiansen";1945;;80;;;
"Heiner Leslie Otto";"Christinck";1946;"FAMILIE";114;"Nordrhein-Westfalen";3;
"Stefan";"Christoph";1988;"GRÜNE";234;"Bayern";22;
"Rainer";"Ciechoradzki";1965;"ödp";;"Thüringen";5;
"Volker";"Cigelski";1953;"NPD";249;;;
"Antje";"Claaßen";1968;"DIE LINKE";295;;;
"Bernhard";"Clasen";1957;"DIE LINKE";110;;;
"Roland";"Claus";1954;"DIE LINKE";74;"Sachsen-Anhalt";4;
"Claus Christian";"Claussen";1961;"CDU";;"Schleswig-Holstein";14;
"Stefan Georg";"Clemens";1959;"FAMILIE";;"Bayern";12;
"Christine";"Coelho";1964;"VIOLETTEN";;"Baden-Württemberg";4;
"Ingrid";"Cölsch";1954;"VIOLETTEN";80;"Berlin";1;
"Gitta";"Connemann";1964;"CDU";26;"Niedersachsen";12;
"Gabriele Maria";"Conrad";1960;"MLPD";271;;;
"Anna";"Conrads";1979;"DIE LINKE";;"Nordrhein-Westfalen";19;
"Michael";"Conz";1966;"FDP";258;"Baden-Württemberg";17;
"Florian";"Cordes";1975;"NPD";29;;;
"Walter";"Corné de";1944;"Volksabst.";;"Nordrhein-Westfalen";6;
"Eva-Maria";"Corr";1956;"FAMILIE";;"Rheinland-Pfalz";3;
"Lino";"Coscia";1988;;41;;;
"Thorsten";"Crämer";1975;"NPD";139;;;
"Viola";"Cramon-Taubadel von";1970;"GRÜNE";53;"Niedersachsen";7;
"Claus";"Cremer";1979;"NPD";141;"Nordrhein-Westfalen";1;
"Ruth";"Cremer-Ricken";1958;"GRÜNE";288;;;
"Petra";"Crone";1950;"SPD";150;"Nordrhein-Westfalen";12;
"Corinna";"Croy";1982;"DIE LINKE";240;"Bayern";17;
"Irfan";"Cüre";1952;"DIE LINKE";;"Hamburg";6;
"Jaroslav";"Curlisca";1953;"BP";;"Bayern";15;
"Dieter";"Cwielong";1957;"DIE LINKE";3;;;
"Mechthild";"Czapp";1982;"PIRATEN";;"Nordrhein-Westfalen";4;
"Michael";"Czech";1955;"DKP";;"Berlin";10;
"Eberhard";"Czichon";1930;"DKP";;"Berlin";11;
"Heinz";"Dabrock";1956;"FAMILIE";299;"Saarland";1;
"Margit";"Dänzer";1955;"VIOLETTEN";;"Baden-Württemberg";6;
"Karl";"Däschner";1954;"NPD";278;;;
"Sevim";"Dagdelen";1975;"DIE LINKE";141;"Nordrhein-Westfalen";7;
"Monika";"Dahl";1965;"DIE LINKE";98;"Nordrhein-Westfalen";17;
"Benjamin";"Dahlhoff";1978;"GRÜNE";;"Hessen";18;
"Thomas";"Dahlmann";1960;"SPD";;"Nordrhein-Westfalen";60;
"Janosch";"Dahmen";1981;"GRÜNE";140;;;
"Dr. Claudia";"Dalbert";1954;"GRÜNE";73;"Sachsen-Anhalt";3;
"Bernhard";"Daldrup";1956;"SPD";131;"Nordrhein-Westfalen";18;
"Michael";"Dambacher";1979;"CDU";;"Baden-Württemberg";39;
"Adolf";"Dammann";1939;"NPD";31;;;
"Dr. Peter";"Danckert";1940;"SPD";63;"Brandenburg";3;
"Bernd";"Dannemann";1944;"FWD";;"Brandenburg";4;
"Britta";"Dassler";1964;"FDP";242;"Bayern";30;
"Helga";"Daub";1942;"FDP";149;"Nordrhein-Westfalen";15;
"Gwenn Patrick";"Dauen";1980;"PIRATEN";;"Bremen";2;
"Horst";"Dauter";1943;;51;;;
"Leo";"Dautzenberg";1950;"CDU";90;"Nordrhein-Westfalen";54;
"Elfriede Katharina";"Daxlberger";1941;"RRP";;"Bayern";8;
"Diego";"De Filippi";1978;"Tierschutz";;"Baden-Württemberg";4;
"Christa";"Debrand";1944;"FAMILIE";;"Saarland";4;
"Cornelia";"Debus";1958;"FDP";25;"Niedersachsen";14;
"Thomas Michael Matthias";"Decker";1972;"CDU";;"Niedersachsen";41;
"Wilhelm";"Dedecke";1960;"DIE LINKE";92;;;
"Klaus-Peter";"Dehde";1959;"SPD";;"Niedersachsen";34;
"Dr. Jörg-Diether";"Dehm-Desoi";1950;"DIE LINKE";;"Niedersachsen";1;
"Ekin";"Deligöz";1971;"GRÜNE";255;"Bayern";5;
"Armin";"Demele";1962;"ödp";266;;;
"Erika";"Demuth";1982;"CDU";;"Rheinland-Pfalz";33;
"Hans Günter";"Dennhoven";1950;;110;;;
"Christine";"Denz";1948;"GRÜNE";276;;;
"Theodor";"Denzer";1951;"FDP";;"Bayern";57;
"Paul";"Derabin";1988;"CDU";;"Niedersachsen";37;
"Zeynep";"Dere";1964;"DIE LINKE";;"Nordrhein-Westfalen";15;
"Tilla-Louise";"Deter";1961;"FDP";283;"Baden-Württemberg";23;
"Knut Matthias";"Dethlefsen";1969;"SPD";;"Schleswig-Holstein";14;
"Wiltrud";"Dettmer";1951;;67;;;
"Rudolf";"Dettweiler";1950;;81;;;
"Michael";"Detzler";1954;"CDU";;"Saarland";18;
"Holger";"Deubel";1980;"NPD";202;;;
"Andreas";"Deuschle";1979;"CDU";;"Baden-Württemberg";22;
"Ulrich";"Deuschle";1952;"REP";;"Baden-Württemberg";2;
"Paul";"Deutsch";1951;"MLPD";51;"Niedersachsen";3;
"Reiner Peter";"Deutschmann";1953;"FDP";157;"Sachsen";4;
"Arno";"Dick";1962;"SPD";;"Niedersachsen";60;
"Veronika";"Dicke";1967;"SPD";;"Schleswig-Holstein";20;
"Dr. Charlotte";"Didlap";1965;;30;;;
"Jens";"Diebler";1966;"FAMILIE";;"Bayern";13;
"Gudrun";"Diebold";1956;"ödp";292;;;
"Jan";"Dieckmann";1980;;102;;;
"Mali";"Dieckmann";1984;;94;;;
"Sandro";"Dierbeck";1975;"FDP";162;;;
"Norman";"Dießner";1971;"GRÜNE";176;"Hessen";10;
"Edeltraud";"Dietert";1953;;212;;;
"Klaus";"Dietrich";1936;"NPD";186;;;
"Matthias";"Dietrich";1971;"ödp";290;"Baden-Württemberg";6;
"Rolf";"Dietrich";1944;"NPD";;"Sachsen-Anhalt";7;
"Christina";"Diggance";1966;"VIOLETTEN";;"Baden-Württemberg";3;
"Esther";"Dilcher";1965;"SPD";;"Hessen";27;
"Dirk";"Dillschneider";1974;"CDU";;"Saarland";6;
"Michael";"Dimitrov";1973;"FDP";108;"Nordrhein-Westfalen";56;
"Erkan";"Dinar";1980;"DIE LINKE";241;;;
"Konrad Willibald";"Dippel";1971;;235;;;
"Alfred";"Dirks";1951;"DIE LINKE";;"Niedersachsen";23;
"Frank Holger Kurt";"Ditsche";1966;;78;;;
"Heidrun";"Dittrich";1958;"DIE LINKE";43;"Niedersachsen";3;
"Dr. Bijan";"Djir-Sarai";1976;"FDP";109;"Nordrhein-Westfalen";13;
"Dr. Larissa";"Dloczik";1967;"ödp";;"Berlin";4;
"Josef";"Dobelmann";1957;"GRÜNE";33;;;
"Wolfgang";"Dobler";1954;"FDP";295;"Baden-Württemberg";26;
"Alexander";"Dobrindt";1970;"CSU";226;"Bayern";5;
"Wolfgang";"Döcke";1954;"FDP";69;;;
"Sebastian";"Döhring";1980;"NPD";;"Berlin";10;
"Prof. Dr. Martina";"Dören";1959;"SPD";;"Berlin";12;
"Thomas";"Dörflinger";1965;"CDU";288;;;
"Patrick";"Döring";1973;"FDP";43;"Niedersachsen";5;
"Waltraud";"Döring";1952;"ödp";;"Thüringen";9;
"Wilfried";"Döring";1953;"ödp";;"Thüringen";13;
"Axel";"Dörken";1967;;132;;;
"Peter J.";"Dörken";1938;"RRP";215;"Bayern";14;
"Helmut";"Dörlitz";1963;"DVU";;"Hamburg";4;
"Martin";"Dörmann";1962;"SPD";94;"Nordrhein-Westfalen";54;
"Katja";"Dörner";1976;"GRÜNE";97;"Nordrhein-Westfalen";5;
"Uwe";"Dörnhöfer";1969;"SPD";215;"Bayern";44;
"Joachim";"Dörr";1968;"SPD";;"Saarland";22;
"Vera Nadja";"Döscher";1972;"FDP";;"Sachsen";5;
"Marie-Luise";"Dött";1953;"CDU";118;"Nordrhein-Westfalen";9;
"Norbert";"Dohmen";1951;"GRÜNE";;"Nordrhein-Westfalen";32;
"Helmut-Hartwig";"Doll";1948;"DIE LINKE";31;;;
"Pauli";"Doll";1956;"BP";226;;;
"Norbert";"Domes";1950;"DIE LINKE";169;;;
"Dennis";"Dormuth";1980;"NPD";130;;;
"Hubert";"Dorn";1956;"BP";;"Bayern";11;
"Bernd";"Dorst";1950;;241;;;
"Horst";"Dotten";1957;"MLPD";120;;;
"Thomas";"Dotzler";1965;"BP";236;"Bayern";6;
"Alexander Ewald";"Drage van";1980;"REP";;"Bayern";13;
"Wolf-Henry";"Dreblow";1958;"FDP";74;"Sachsen-Anhalt";6;
"Jochen";"Dreetz";1956;"GRÜNE";74;"Sachsen-Anhalt";6;
"Werner";"Dreibus";1947;"DIE LINKE";180;"Hessen";4;
"Dr. Artur";"Dreischer";1928;"Volksabst.";;"Baden-Württemberg";1;
"Dr. Ulrich";"Drerup";1951;"CDU";;"Schleswig-Holstein";22;
"Max Jürgen";"Drescher";1968;"FDP";;"Rheinland-Pfalz";27;
"Dr. Carl-Christian";"Dressel";1970;"SPD";238;"Bayern";19;
"Hans-Joachim";"Drewes";1936;"RRP";;"Bremen";3;
"Gerhard";"Drexler";1964;"FDP";227;"Bayern";15;
"Heidi";"Drinkard";1946;"NPD";262;;;
"Klaus Willy";"Drinkmann";1937;"RENTNER";;"Nordrhein-Westfalen";8;
"Waltraud Lotte";"Drinkmann";1954;"RENTNER";;"Nordrhein-Westfalen";11;
"Elvira";"Drobinski-Weiß";1951;"SPD";284;"Baden-Württemberg";11;
"Ute Regina";"Drothler";1969;"ödp";222;"Bayern";14;
"Kai-Uwe";"Ducke";1975;"BüSo";166;"Nordrhein-Westfalen";2;
"Wolfgang Georg";"Duda";1962;"NPD";118;"Nordrhein-Westfalen";16;
"Garrelt";"Duin";1968;"SPD";25;"Niedersachsen";1;
"Angelica";"Dullinger";1960;"SPD";226;"Bayern";26;
"Andrea Brigitte";"Dumberger";1957;"MLPD";;"Bayern";8;
"Klaus";"Dumberger";1964;"MLPD";218;"Bayern";1;
"Nina";"Dusper";1975;"MLPD";;"Nordrhein-Westfalen";26;
"Dr. Kurt Carlos";"Duwe";1951;"FDP";24;"Hamburg";3;
"Mechthild";"Dyckmans";1950;"FDP";169;"Hessen";5;
"Thomas";"Dyhr";1958;"GRÜNE";60;"Brandenburg";5;
"Klaus-Peter";"Eberhard";1962;"FDP";8;"Schleswig-Holstein";5;
"Dagmar";"Eberhard-Forschner";1953;"MLPD";108;;;
"Dr. Christian";"Eberl";1954;"FDP";53;;;
"Johann";"Eberle";1948;"BP";;"Bayern";16;
"Dieter";"Ebert";1955;"REP";;"Baden-Württemberg";16;
"Harald";"Ebner";1964;"GRÜNE";268;"Baden-Württemberg";12;
"Jutta";"Eckenbach";1952;"CDU";120;"Nordrhein-Westfalen";30;
"Michael";"Eckert";1981;;284;;;
"René";"Eckert van";1987;"SPD";;"Bayern";47;
"Hannelore";"Eckhardt";1954;"SPD";;"Hessen";22;
"Herbert";"Eckler";1931;"BüSo";;"Nordrhein-Westfalen";5;
"Sebastian";"Edathy";1969;"SPD";41;"Niedersachsen";15;
"Lars Oliver";"Effertz";1978;"FDP";92;"Nordrhein-Westfalen";40;
"Jürgen";"Eggers";1957;"DIE LINKE";46;;;
"Ingo";"Egloff";1956;"SPD";23;"Hamburg";3;
"Hasso";"Ehinger";1940;"DIE LINKE";267;;;
"Hans-Joachim";"Ehnes";1956;"DIE LINKE";242;"Bayern";10;
"Hans-Werner";"Ehrenberg";1952;"FDP";148;"Nordrhein-Westfalen";23;
"Robert";"Ehrhardt";1982;"REP";;"Sachsen";3;
"Ewald";"Ehrl";1961;"NPD";234;;;
"Martina";"Ehrlich";1965;"SPD";;"Rheinland-Pfalz";19;
"Siegmund";"Ehrmann";1952;"SPD";115;"Nordrhein-Westfalen";53;
"Bernd";"Ehrreich";1972;"NPD";299;;;
"Ulrich";"Eichhorst";1946;"SPD";;"Niedersachsen";39;
"Martin";"Eichler";1968;"ödp";;"Bayern";15;
"Rainer Hans";"Eichler";1950;"REP";;"Sachsen";9;
"Franziska";"Eichstädt-Bohlig";1941;"GRÜNE";87;;;
"Hermann Josef Jupp";"Eicker";1949;"MLPD";;"Nordrhein-Westfalen";9;
"Andreas";"Eickmeier";1954;"FDP";135;"Nordrhein-Westfalen";32;
"Andreas";"Eifler";1955;"MLPD";196;"Thüringen";1;
"Manuela";"Eifler";1957;"MLPD";;"Thüringen";4;
"Ellen";"Eigemeier";1970;"ödp";;"Rheinland-Pfalz";4;
"Helmut";"Eigen";1955;"DIE LINKE";143;"Nordrhein-Westfalen";14;
"Ulrich";"Eigenfeld";1947;"NPD";;"Niedersachsen";1;
"Egon";"Eigenthaler";1938;"REP";;"Baden-Württemberg";7;
"Gerhard Fritz";"Einrauch";1929;"REP";;"Bremen";2;
"Toralf";"Einsle";1980;"FDP";158;"Sachsen";10;
"Dr. Stephan";"Eisel";1955;"CDU";97;"Nordrhein-Westfalen";38;
"Dietmar";"Eisele";1959;"GRÜNE";125;;;
"Klaus Peter";"Eisold";1961;"SPD";;"Rheinland-Pfalz";30;
"Henrik";"Eitel";1977;"CDU";;"Saarland";7;
"Hanaa";"El-Hussein";1968;"FDP";87;"Berlin";6;
"Dr. Andreas";"Ellendt";1963;"CDU";;"Schleswig-Holstein";15;
"Stefan";"Ellenrieder";1961;"BP";;"Bayern";17;
"René";"Emcke";1977;"PIRATEN";;"Sachsen-Anhalt";1;
"Raimund Karl";"Enders";1953;"FAMILIE";222;"Bayern";7;
"Thomas";"Endres";1960;"DIE LINKE";249;;;
"Leopold";"Endriß";1936;"ADM";;"Baden-Württemberg";10;
"Franziska";"Engehausen";1963;"SPD";260;"Baden-Württemberg";30;
"Stefan Klaus";"Engel";1954;"MLPD";124;"Nordrhein-Westfalen";2;
"Dr. Ursula";"Engelen-Kefer";1943;"SPD";217;"Bayern";30;
"Klaus Bruno";"Engelhardt";1953;"DIE LINKE";239;;;
"Sigurd Adolf";"Engelmann";1936;"NPD";246;;;
"Michaela Barbara";"Engelmeier-Heite";1960;"SPD";100;"Nordrhein-Westfalen";34;
"Martin";"Engels";1963;"CDU";;"Hessen";45;
"Oliver";"Engels";1969;"FDP";;"Rheinland-Pfalz";30;
"Rainer";"Engels";1963;"NPD";101;;;
"Christine";"Engelschall";1965;"Tierschutz";;"Bayern";1;
"Jan";"Engert";1986;"PIRATEN";;"Saarland";6;
"Gaby";"Englmeier";1967;"CSU";;"Bayern";27;
"Dr. Dagmar";"Enkelmann";1956;"DIE LINKE";60;"Brandenburg";1;
"Horst";"Entinger";1944;"RRP";;"Saarland";3;
"Jürgen";"Eppler";1971;"ADM";;"Baden-Württemberg";9;
"Birgit";"Erben";1952;"DIE LINKE";;"Nordrhein-Westfalen";34;
"Rainer";"Erdel";1955;"FDP";241;"Bayern";14;
"Christoph";"Erdmenger";1970;"GRÜNE";68;"Sachsen-Anhalt";2;
"David";"Erkalp";1974;"CDU";19;;;
"Frank";"Erkner";1966;"FDP";30;"Niedersachsen";23;
"Gernot";"Erler";1944;"SPD";281;"Baden-Württemberg";2;
"Wolfgang Manfred";"Ermert";1944;"REP";;"Rheinland-Pfalz";5;
"Klaus";"Ernst";1954;"DIE LINKE";250;"Bayern";1;
"Petra";"Ernstberger";1955;"SPD";239;"Bayern";4;
"Engin";"Eroglu";1982;"GRÜNE";171;;;
"Mario";"Ertel";1963;"NPD";157;;;
"Mario";"Ertel";1976;"ödp";;"Bayern";16;
"Frank";"Eschrich";1964;"DIE LINKE";211;;;
"Saskia";"Esken";1961;"SPD";280;"Baden-Württemberg";28;
"Jörg";"Essen van";1947;"FDP";146;"Nordrhein-Westfalen";3;
"Hubert";"Eßer";1959;"SPD";109;"Nordrhein-Westfalen";46;
"Steffen";"Etzel";1950;"DIE LINKE";176;;;
"Nina";"Eumann";1965;"DIE LINKE";119;;;
"Dieter Walter Karl";"Euscher";1939;"RRP";;"Niedersachsen";1;
"Karin";"Evers-Meyer";1949;"SPD";27;"Niedersachsen";4;
"Adalbert Peter";"Ewen";1952;"CDU";;"Saarland";19;
"Monika";"Ewert";1940;"REP";;"Bayern";4;
"Anke";"Eymer";1949;"CDU";11;"Schleswig-Holstein";6;
"Stefan";"Faber";1951;"NPD";217;"Bayern";8;
"Dr. Bernd-Bernhard";"Fabritius";1965;"CSU";;"Bayern";32;
"Hannelore";"Fackler-Plump";1946;"BüSo";252;"Bayern";6;
"Ivette Annabell";"Fähnemann";1974;"DVU";;"Bremen";4;
"Prof. Dr. Christine";"Färber";1964;"SPD";;"Brandenburg";8;
"Daniel";"Fahr";1976;"FDP";128;;;
"Florian";"Fahrner";1978;"ödp";231;"Bayern";6;
"David";"Faku";1986;"BüSo";218;"Bayern";8;
"Tobias Christoph Mzingisi";"Faku";1988;"BüSo";143;"Nordrhein-Westfalen";11;
"Benno";"Falk";1953;"MLPD";;"Mecklenburg-Vorpommern";5;
"Markus";"Falk";1970;"FDP";200;"Rheinland-Pfalz";7;
"Peter";"Falk";1964;"SPD";216;"Bayern";25;
"Herbert";"Falke";1956;"GRÜNE";137;"Nordrhein-Westfalen";30;
"Rena";"Farquhar";1974;"FDP";261;;;
"Gabriele";"Faulhaber";1953;"DIE LINKE";177;;;
"Dirk";"Faust";1971;"FDP";72;"Sachsen-Anhalt";5;
"Dr. Hans-Georg";"Faust";1948;"CDU";53;"Niedersachsen";17;
"Matthias";"Faust";1971;"DVU";;"Hamburg";1;
"Dr. Johannes";"Fechner";1972;"SPD";283;"Baden-Württemberg";24;
"Hanno";"Fecke";1962;"SPD";2;"Schleswig-Holstein";11;
"Katharina";"Fegebank";1977;"GRÜNE";20;"Hamburg";3;
"Thomas";"Fehling";1967;"FDP";170;"Hessen";19;
"Ralf";"Fehlmann";1957;"FAMILIE";;"Saarland";3;
"Anette";"Feike";1959;"SPD";196;"Thüringen";7;
"Katharina";"Feike";1976;"SPD";16;"Mecklenburg-Vorpommern";4;
"Uwe";"Feiler";1965;"CDU";59;"Brandenburg";6;
"Karin";"Feindt";1940;"NPD";261;;;
"Dr. Thomas Wolfgang";"Feist";1965;"CDU";154;;;
"Konrad Kurt";"Felber";1953;"FDP";164;"Sachsen";6;
"Thomas";"Feldhaus";1972;;84;;;
"Dagmar";"Feldmann";1963;"FAMILIE";137;"Nordrhein-Westfalen";4;
"Thurid";"Feldmann";1964;"DIE LINKE";272;;;
"Martina";"Feldmayer";1964;"GRÜNE";182;;;
"Dr. Fritz";"Felgentreu";1968;"SPD";83;"Berlin";8;
"Dr. Bernd";"Fell";1948;"FDP";49;"Niedersachsen";27;
"Hans-Josef";"Fell";1952;"GRÜNE";248;"Bayern";2;
"Madeleine";"Fellauer";1979;"BüSo";;"Sachsen";3;
"Peter";"Fendt";1950;"BP";257;"Bayern";18;
"Stefan";"Fenner";1958;"FDP";;"Hessen";41;
"Gisbert";"Ferger";1933;"REP";;"Bayern";21;
"Enak";"Ferlemann";1963;"CDU";30;"Niedersachsen";8;
"Elke";"Ferner";1958;"SPD";296;"Saarland";1;
"Wolfgang";"Ferner";1952;"DIE LINKE";200;"Rheinland-Pfalz";4;
"Dr. Stefan";"Feuerstein";1951;"FDP";193;;;
"Alexander";"Feyen";1975;"NPD";254;;;
"Thomas";"Fickenwirth";1954;"FDP";214;"Bayern";24;
"Sascha";"Fiek";1974;"FDP";281;"Baden-Württemberg";16;
"Marion";"Figge";1964;"NPD";;"Nordrhein-Westfalen";3;
"Josef";"Filippek";1949;"DIE LINKE";150;"Nordrhein-Westfalen";24;
"Matthias";"Fimmel";1971;;193;;;
"Elke";"Fimmen";1954;"BüSo";;"Baden-Württemberg";1;
"Klaus";"Fimmen";1956;"BüSo";183;"Hessen";7;
"Jochen";"Findeisen";1948;"DIE LINKE";262;"Baden-Württemberg";18;
"Jan Niklas";"Fingerle";1974;"PIRATEN";;"Saarland";1;
"Eva-Maria";"Fink-Hanebuth";1955;"FDP";;"Hessen";29;
"Peter";"Finke";1949;"RENTNER";;"Nordrhein-Westfalen";2;
"Ingrid";"Fischbach";1957;"CDU";142;"Nordrhein-Westfalen";6;
"Axel";"Fischer";1966;"CDU";272;;;
"Christian";"Fischer";1982;"NPD";;"Niedersachsen";10;
"Christian";"Fischer";1979;"PIRATEN";;"Thüringen";4;
"Dr. Dietrich";"Fischer";1930;"REP";;"Nordrhein-Westfalen";7;
"Dirk Erik";"Fischer";1943;"CDU";22;"Hamburg";1;
"Harald";"Fischer";1960;"FAMILIE";;"Bayern";6;
"Hartwig";"Fischer";1948;"CDU";54;"Niedersachsen";10;
"Karl-Heinz";"Fischer";1952;"REP";;"Nordrhein-Westfalen";9;
"Lydia";"Fischer";1949;"CDU";;"Hamburg";8;
"Marcus";"Fischer";1964;"FDP";120;"Nordrhein-Westfalen";59;
"Markus";"Fischer";1964;"FDP";269;"Baden-Württemberg";34;
"Peter";"Fischer";1955;"SPD";285;"Baden-Württemberg";31;
"Poul-Ludwig";"Fischer";1946;"FDP";;"Rheinland-Pfalz";17;
"Roland";"Fischer";1961;"SPD";221;"Bayern";35;
"Werner";"Fischer";1955;;257;;;
"Jürgen";"Fischinger";1956;"NPD";282;;;
"Peter";"Fitzek";1965;;71;;;
"Ulrike";"Flach";1951;"FDP";119;"Nordrhein-Westfalen";6;
"Dr. Maria Franziska";"Flachsbarth";1963;"CDU";48;"Niedersachsen";6;
"Daniel";"Flachshaar";1976;"PIRATEN";;"Thüringen";2;
"Dr. Helmut";"Fleck";1938;"Volksabst.";98;"Nordrhein-Westfalen";1;
"Hermann";"Fleischer";1950;"DIE LINKE";50;"Niedersachsen";27;
"Holger";"Flöge";1956;"FDP";46;"Niedersachsen";29;
"Klaus-Peter";"Flosbach";1952;"CDU";100;"Nordrhein-Westfalen";34;
"Thomas";"Flügge";1974;"SPD";;"Niedersachsen";55;
"Stephan";"Flug";1967;"NPD";149;"Nordrhein-Westfalen";17;
"Matthias";"Fobo";1961;"GRÜNE";65;;;
"Bert-Rüdiger";"Förster";1942;"REP";180;"Hessen";2;
"Hildegard";"Förster-Heldmann";1958;"GRÜNE";;"Hessen";21;
"Frank";"Förstermann";1964;"CDU";;"Baden-Württemberg";59;
"Verena";"Föttinger";1956;"ödp";;"Baden-Württemberg";1;
"Gabriele";"Fograscher";1957;"SPD";254;"Bayern";14;
"Peter";"Forelle";1973;"CDU";;"Thüringen";11;
"Manuela";"Forster";1972;"ödp";;"Bayern";17;
"Josef";"Fortner";1960;"ödp";223;;;
"Dr. Johannes";"Frackowiak";1968;"FDP";195;"Thüringen";4;
"Sven Henri";"Franck";1959;"SPD";;"Rheinland-Pfalz";18;
"Hartmut";"Frank";1953;;59;;;
"Maria";"Frank";1938;;220;;;
"Dr. Edgar";"Franke";1960;"SPD";171;"Hessen";7;
"Philipp";"Frankenfeld";1971;"FDP";231;"Bayern";45;
"Herbert";"Frankenhauser";1945;"CSU";219;"Bayern";18;
"Frank";"Franz";1978;"NPD";298;"Saarland";1;
"Markus";"Franz";1963;"CDU";;"Saarland";13;
"Uwe";"Franz";1962;"SPD";;"Rheinland-Pfalz";24;
"Manfred";"Franzke";1952;;217;;;
"Gabriele";"Frechen";1956;"SPD";92;"Nordrhein-Westfalen";37;
"Dorothea";"Frederking";1964;"GRÜNE";70;"Sachsen-Anhalt";5;
"Jürgen";"Freimuth";1954;"ödp";;"Rheinland-Pfalz";11;
"Dagmar";"Freitag";1953;"SPD";151;"Nordrhein-Westfalen";7;
"Reinhard";"Freitag";1961;"FDP";280;"Baden-Württemberg";33;
"Manfred";"Frentzen";1948;"NPD";110;;;
"Erich";"Freudenberger";1971;"PBC";249;"Bayern";9;
"Astrid";"Freudenstein";1973;"CSU";;"Bayern";28;
"Klaus";"Freudigmann";1942;"MLPD";;"Berlin";6;
"Elvira-Anna";"Fricke";1934;"MLPD";;"Sachsen-Anhalt";9;
"Otto";"Fricke";1965;"FDP";111;"Nordrhein-Westfalen";7;
"Sebastian";"Fricke";1974;"GRÜNE";6;"Schleswig-Holstein";10;
"Sabine";"Fricker";1957;"MLPD";;"Saarland";2;
"Markus Paul Felix";"Fridgen";1975;"NPD";213;;;
"Carolin";"Friedemann";1981;"GRÜNE";42;"Niedersachsen";13;
"Paul Klemens";"Friedhoff";1943;"FDP";113;"Nordrhein-Westfalen";12;
"Peter";"Friedhoff";1970;"FDP";33;"Niedersachsen";16;
"Patrick";"Friedl";1970;"GRÜNE";251;;;
"Dr. Hans-Peter";"Friedrich";1957;"CSU";239;"Bayern";14;
"Peter";"Friedrich";1972;"SPD";287;"Baden-Württemberg";9;
"Thomas";"Friedrich";1955;"ödp";;"Bayern";18;
"Hans-Christian";"Friedrichs";1964;"GRÜNE";37;;;
"Maika";"Friemann-Jennert";1964;"CDU";;"Mecklenburg-Vorpommern";9;
"Michael";"Frieser";1964;"CSU";245;"Bayern";16;
"Urs Fabian";"Frigger";1984;"FDP";147;"Nordrhein-Westfalen";41;
"Dr. Benedikt";"Frings";1957;"NPD";94;;;
"Jörg";"Frister";1977;"FDP";;"Rheinland-Pfalz";15;
"Kerstin";"Fritsch";1962;"NPD";283;;;
"Nicole";"Fritsche";1979;"DIE LINKE";218;"Bayern";7;
"Erich Georg";"Fritz";1946;"CDU";144;"Nordrhein-Westfalen";19;
"Maria-Elisabeth";"Fritzen";1962;"GRÜNE";9;;;
"Jakobus";"Fröhlich";1945;"MLPD";140;;;
"Josephine";"Fröhlich";1984;"NPD";176;;;
"Patrick";"Fröhlich";1981;"CSU";;"Bayern";42;
"Ulrich";"Fröhlich-Abrecht";1974;"CDU";;"Hessen";41;
"Christa";"Frohn";1955;"DIE LINKE";90;;;
"Gabi";"Fromm";1951;"SPD";;"Saarland";30;
"Jochen-Konrad";"Fromme";1949;"CDU";50;"Niedersachsen";11;
"Ferdinand";"Frummet";1951;"RRP";233;"Bayern";7;
"Klaus";"Fuchs";1954;"MLPD";71;"Sachsen-Anhalt";5;
"Dr. Michael";"Fuchs";1949;"CDU";200;"Rheinland-Pfalz";8;
"Hans-Joachim";"Fuchtel";1952;"CDU";280;;;
"Gabriel";"Fürst";1978;"CDU";;"Baden-Württemberg";58;
"Alexander";"Fürter";1970;"FDP";;"Bayern";54;
"Klaus-Wilhelm";"Füßmann";1957;"FDP";142;"Nordrhein-Westfalen";37;
"Michael";"Fuest";1955;"GRÜNE";32;"Niedersachsen";14;
"Gerald Paul";"Fütterer";1957;"ödp";;"Thüringen";12;
"Alexander";"Funk";1974;"CDU";299;"Saarland";4;
"Reinhard";"Funk";1958;"MLPD";;"Niedersachsen";5;
"Madeleine";"Funke";1963;"CDU";;"Hessen";40;
"Holger";"Furch";1985;"PIRATEN";;"Nordrhein-Westfalen";2;
"Irina";"Gaba";1988;"BP";;"Bayern";19;
"Martin";"Gabling";1962;"NPD";229;"Bayern";3;
"Sigmar";"Gabriel";1959;"SPD";50;"Niedersachsen";24;
"Ingo";"Gädechens";1960;"CDU";9;"Schleswig-Holstein";9;
"Gabriele";"Gärtner";1977;"MLPD";;"Nordrhein-Westfalen";1;
"Joachim";"Gärtner";1948;"MLPD";;"Hessen";7;
"Johann";"Gärtner";1950;"REP";;"Bayern";1;
"Matthias";"Gärtner";1984;"NPD";70;"Sachsen-Anhalt";5;
"Monika Ruth";"Gärtner-Engel";1952;"MLPD";;"Nordrhein-Westfalen";5;
"Annegret";"Gärtner-Leymann";1977;"MLPD";141;"Nordrhein-Westfalen";16;
"Siegfried";"Gärttner";1946;"NPD";271;;;
"Uwe";"Gäthje";1940;"RRP";56;"Bremen";1;
"Giuliano";"Gagliardi";1988;;289;;;
