Nachname;Vorname;Partei-Nr;Land-Nr.;Platz;Wahlkreis - Nr.
Cremer-Ricken;Ruth;4;;;288
Crone;Petra;29;10; 12 ;150
Croy;Corinna;13;2; 17 ;240
Cüre;Irfan;13;6; 6 ;  
Curlisca;Jaroslav;3;2; 15 ;  
Cwielong;Dieter;13;;;3
Czapp;Mechthild;26;10; 4 ;  
Czech;Michael;10;3; 10 ;  
Czichon;Eberhard;10;3; 11 ;  
Dabrock;Heinz ;16;12; 1 ;299
Dagdelen;Sevim;13;10; 7 ;141
Dahl;Monika;13;10; 17 ;98
Dahlhoff;Benjamin;4;7; 18 ;  
Dahlmann;Thomas;29;10; 60 ;  
Dahmen;Janosch;4;;;140
Dalbert;Dr. Claudia;4;14; 3 ;73
Daldrup;Bernhard;29;10; 18 ;131
Dambacher;Michael;6;1; 39 ;  
Dammann;Adolf;22;;;31
Danckert;Dr. Peter;29;4; 3 ;63
Dannemann;Bernd;19;4; 4 ;  
Dänzer;Margit;15;1; 6 ;  
Däschner;Karl;22;;;278
Dassler;Britta;17;2; 30 ;242
Daub;Helga;17;10; 15 ;149
Dauen;Gwenn Patrick;26;5; 2 ;  
Dauter;Horst;;;;51
Dautzenberg;Leo;6;10; 54 ;90
Daxlberger;Elfriede Katharina;27;2; 8 ;  
De Filippi;Diego;21;1; 4 ;  
Debrand;Christa;16;12; 4 ;  
Debus;Cornelia;17;9; 14 ;25
Decker;Thomas Michael Matthias;6;9; 41 ;  
Dedecke;Wilhelm;13;;;92
Dehde;Klaus-Peter;29;9; 34 ;  
Dehm-Desoi;Dr. Jörg-Diether;13;9; 1 ;  
Deligöz;Ekin;4;2; 5 ;255
Demele;Armin;23;;;266
Demuth;Erika;6;11; 33 ;  
Dennhoven;Hans Günter;;;;110
Denz;Christine;4;;;276
Denzer;Theodor;17;2; 57 ;  
Derabin;Paul;6;9; 37 ;  
Dere;Zeynep;13;10; 15 ;  
Deter;Tilla-Louise;17;1; 23 ;283
Dethlefsen;Knut Matthias;29;15; 14 ;  
Dettmer;Wiltrud;;;;67
Dettweiler;Rudolf;;;;81
Detzler;Michael;6;12; 18 ;  
Deubel;Holger;22;;;202
Deuschle;Andreas;6;1; 22 ;  
Deuschle;Ulrich;14;1; 2 ;  
Deutsch;Paul;20;9; 3 ;51
Deutschmann;Reiner Peter;17;13; 4 ;157
Dick;Arno;29;9; 60 ;  
Dicke;Veronika;29;15; 20 ;  
Didlap;Dr. Charlotte;;;;30
Diebler;Jens;16;2; 13 ;  
Diebold;Gudrun;23;;;292
Dieckmann;Jan;;;;102
Dieckmann;Mali;;;;94
Dierbeck;Sandro;17;;;162
Dießner;Norman;4;7; 10 ;176
Dietert;Edeltraud;;;;212
Dietrich;Klaus;22;;;186
Dietrich;Matthias;23;1; 6 ;290
Dietrich;Rolf;22;14; 7 ;  
Diggance;Christina;15;1; 3 ;  
Dilcher;Esther;29;7; 27 ;  
Dillschneider;Dirk;6;12; 6 ;  
Dimitrov;Michael;17;10; 56 ;108
Dinar;Erkan;13;;;241
Dippel;Konrad Willibald;;;;235
Dirks;Alfred;13;9; 23 ;  
Ditsche;Frank Holger Kurt;;;;78
Dittrich;Heidrun;13;9; 3 ;43
Djir-Sarai;Dr. Bijan;17;10; 13 ;109
Dloczik;Dr. Larissa;23;3; 4 ;  
Dobelmann;Josef;4;;;33
Dobler;Wolfgang;17;1; 26 ;295
Dobrindt;Alexander;8;2; 5 ;226
Döcke;Wolfgang;17;;;69
Dohmen;Norbert;4;10; 32 ;  
Döhring;Sebastian;22;3; 10 ;  
Doll;Helmut-Hartwig;13;;;31
Doll;Pauli;3;;;226
Domes;Norbert;13;;;169
Dören;Prof. Dr. Martina;29;3; 12 ;  
Dörflinger;Thomas;6;;;288
Döring;Patrick;17;9; 5 ;43
Döring;Waltraud;23;16; 9 ;  
Döring;Wilfried;23;16; 13 ;  
Dörken;Axel;;;;132
Dörken;Peter J.;27;2; 14 ;215
Dörlitz;Helmut;11;6; 4 ;  
Dörmann;Martin;29;10; 54 ;94
Dormuth;Dennis;22;;;130
Dorn;Hubert;3;2; 11 ;  
Dörner;Katja;4;10; 5 ;97
Dörnhöfer;Uwe;29;2; 44 ;215
Dörr;Joachim;29;12; 22 ;  
Dorst;Bernd;;;;241
Döscher;Vera Nadja;17;13; 5 ;  
Dött;Marie-Luise;6;10; 9 ;118
Dotten;Horst;20;;;120
Dotzler;Thomas;3;2; 6 ;236
Drage van;Alexander Ewald;14;2; 13 ;  
Dreblow;Wolf-Henry;17;14; 6 ;74
Dreetz;Jochen;4;14; 6 ;74
Dreibus;Werner;13;7; 4 ;180
Dreischer;Dr. Artur;1;1; 1 ;  
Drerup;Dr. Ulrich;6;15; 22 ;  
Drescher;Max Jürgen;17;11; 27 ;  
Dressel;Dr. Carl-Christian;29;2; 19 ;238
Drewes;Hans-Joachim;27;5; 3 ;  
Drexler;Gerhard;17;2; 15 ;227
Drinkard;Heidi;22;;;262
Drinkmann;Klaus Willy;28;10; 8 ;  
Drinkmann;Waltraud Lotte;28;10; 11 ;  
Drobinski-Weiß;Elvira;29;1; 11 ;284
Drothler;Ute Regina;23;2; 14 ;222
Ducke;Kai-Uwe;5;10; 2 ;166
Duda;Wolfgang Georg;22;10; 16 ;118
Duin;Garrelt;29;9; 1 ;25
Dullinger;Angelica;29;2; 26 ;226
Dumberger;Andrea Brigitte;20;2; 8 ;  
Dumberger;Klaus;20;2; 1 ;218
Dusper;Nina;20;10; 26 ;  
Duwe;Dr. Kurt Carlos;17;6; 3 ;24
Dyckmans;Mechthild;17;7; 5 ;169
Dyhr;Thomas;4;4; 5 ;60
Eberhard;Klaus-Peter ;17;15; 5 ;8
Eberhard-Forschner;Dagmar;20;;;108
Eberl;Dr. Christian;17;;;53
Eberle;Johann;3;2; 16 ;  
Ebert;Dieter;14;1; 16 ;  
Ebner;Harald;4;1; 12 ;268
Eckenbach;Jutta;6;10; 30 ;120
Eckert;Michael;;;;284
Eckert van;René;29;2; 47 ;  
Eckhardt;Hannelore;29;7; 22 ;  
Eckler;Herbert;5;10; 5 ;  
Edathy;Sebastian;29;9; 15 ;41
Effertz;Lars Oliver;17;10; 40 ;92
Eggers;Jürgen;13;;;46
Egloff;Ingo;29;6; 3 ;23
Ehinger;Hasso;13;;;267
Ehnes;Hans-Joachim;13;2; 10 ;242
Ehrenberg;Hans-Werner;17;10; 23 ;148
Ehrhardt;Robert;14;13; 3 ;  
Ehrl;Ewald;22;;;234
Ehrlich;Martina;29;11; 19 ;  
Ehrmann;Siegmund;29;10; 53 ;115
Ehrreich;Bernd;22;;;299
Eichhorst;Ulrich;29;9; 39 ;  
Eichler;Martin;23;2; 15 ;  
Eichler;Rainer Hans;14;13; 9 ;  
Eichstädt-Bohlig;Franziska;4;;;87
Eicker;Hermann Josef Jupp;20;10; 9 ;  
Eickmeier;Andreas;17;10; 32 ;135
Eifler;Andreas;20;16; 1 ;196
Eifler;Manuela;20;16; 4 ;  
Eigemeier;Ellen;23;11; 4 ;  
Eigen;Helmut;13;10; 14 ;143
Eigenfeld;Ulrich;22;9; 1 ;  
Eigenthaler;Egon;14;1; 7 ;  
Einrauch;Gerhard Fritz;14;5; 2 ;  
Einsle;Toralf;17;13; 10 ;158
Eisel;Dr. Stephan;6;10; 38 ;97
Eisele;Dietmar;4;;;125
Eisold;Klaus Peter;29;11; 30 ;  
Eitel;Henrik;6;12; 7 ;  
El-Hussein;Hanaa;17;3; 6 ;87
Ellendt;Dr. Andreas;6;15; 15 ;  
Ellenrieder;Stefan;3;2; 17 ;  
Emcke;René;26;14; 1 ;  
Enders;Raimund Karl;16;2; 7 ;222
Endres;Thomas;13;;;249
Endriß;Leopold;2;1; 10 ;  
Engehausen;Franziska;29;1; 30 ;260
Engel;Stefan Klaus;20;10; 2 ;124
Engelen-Kefer;Dr. Ursula;29;2; 30 ;217
Engelhardt;Klaus Bruno;13;;;239
Engelmann;Sigurd Adolf;22;;;246
Engelmeier-Heite;Michaela Barbara;29;10; 34 ;100
Engels;Martin;6;7; 45 ;  
Engels;Oliver;17;11; 30 ;  
Engels;Rainer;22;;;101
Engelschall;Christine;21;2; 1 ;  
Engert;Jan;26;12; 6 ;  
Englmeier;Gaby;8;2; 27 ;  
Enkelmann;Dr. Dagmar;13;4; 1 ;60
Entinger;Horst;27;12; 3 ;  
Eppler;Jürgen;2;1; 9 ;  
Erben;Birgit;13;10; 34 ;  
Erdel;Rainer;17;2; 14 ;241
Erdmenger;Christoph;4;14; 2 ;68
Erkalp;David;6;;;19
Erkner;Frank;17;9; 23 ;30
Erler;Gernot;29;1; 2 ;281
Ermert;Wolfgang Manfred;14;11; 5 ;  
Ernst;Klaus;13;2; 1 ;250
Ernstberger;Petra;29;2; 4 ;239
Eroglu;Engin;4;;;171
Ertel;Mario;23;2; 16 ;  
Ertel;Mario;22;;;157
Eschrich;Frank;13;;;211
Esken;Saskia;29;1; 28 ;280
Essen van;Jörg;17;10; 3 ;146
Eßer;Hubert;29;10; 46 ;109
Etzel;Steffen;13;;;176
Eumann;Nina;13;;;119
Euscher;Dieter Walter Karl;27;9; 1 ;  
Evers-Meyer;Karin;29;9; 4 ;27
Ewen;Adalbert Peter;6;12; 19 ;  
Ewert;Monika;14;2; 4 ;  
Eymer;Anke;6;15; 6 ;11
Faber;Stefan ;22;2; 8 ;217
